position_id,chain,protocol,wallet,position_label,category,position_type,token_symbol,token_contract,balance_human,price_usd,price_source,value_usd,block_number,block_timestamp_utc,notes,run_timestamp_cet
solana_exponent_ASQ4kYjS_PT-eUSX-01JUN26_C_lp_constituent,solana,exponent,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,Exponent eUSX-01JUN26 LP,C,lp_constituent,PT-eUSX-01JUN26,,42984.054589,1.023757390591308351452709849,exponent_amm_rate (pt_ratio=0.990952),44005.24356306899316777487760,,27/03/2026 16:38:06,,27/03/2026 17:37:39
solana_exponent_ASQ4kYjS_YT-ONyc-13MAY26_F_reward,solana,exponent,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,Exponent YT-ONyc-13MAY26,F,reward,YT-ONyc-13MAY26,,725568.460446832,0,price_not_found_YT-ONyc-13MAY26,0E-9,,27/03/2026 16:38:06,,27/03/2026 17:37:39
solana_exponent_ASQ4kYjS_YT-eUSX-01JUN26_F_reward,solana,exponent,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,Exponent YT-eUSX-01JUN26,F,reward,YT-eUSX-01JUN26,,141770.932952,0,price_not_found_YT-eUSX-01JUN26,0.000000,,27/03/2026 16:38:06,,27/03/2026 17:37:39
solana_exponent_ASQ4kYjS_PT-USX-01JUN26_B_pt_lot_aggregate,solana,exponent,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,PT PT-USX-01JUN26 (lot-based),B,pt_lot_aggregate,PT-USX-01JUN26,3kctCXgt6pP3uZcek8SqNK2KZdQ6cqtj9hc3U46jhgBk,1802168.472450,0.9883231354168286500347985210,pt_linear_amortisation,1781124.795241140582256608490,,27/03/2026 16:38:06,,27/03/2026 17:37:39
solana_exponent_ASQ4kYjS_PT-eUSX-01JUN26_B_pt_lot_aggregate,solana,exponent,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,PT PT-eUSX-01JUN26 (lot-based),B,pt_lot_aggregate,PT-eUSX-01JUN26,BNR2FsHo8JrYGWx2V8yxG5GBWiG3uU8voi2eMGBHFwEj,77839.861427,1.017861210090993831057509690,pt_linear_amortisation,79230.17554540149387022840314,,27/03/2026 16:38:06,,27/03/2026 17:37:39
ethereum_wallet_0xa33e1f_ETH_F_token_balance,ethereum,wallet,0xa33e1f748754d2d624638ab335100d92fcbe62a2,ETH,F,token_balance,ETH,native,0.001630134923890748,1981.39000,kraken,3.22993303684788917972000,24750136,27/03/2026 16:37:35,,27/03/2026 17:37:39
ethereum_wallet_0xa33e1f_DAM_F_token_balance,ethereum,wallet,0xa33e1f748754d2d624638ab335100d92fcbe62a2,DAM,F,token_balance,DAM,0x0fedba9178b70e8b54e2af08ebffcf28a1e5a43b,14587.904232661354429432,0.0273101,coingecko,398.3971233844048556032308632,24750136,27/03/2026 16:37:35,,27/03/2026 17:37:39
ethereum_wallet_0xa33e1f_USDD_E_token_balance,ethereum,wallet,0xa33e1f748754d2d624638ab335100d92fcbe62a2,USDD,E,token_balance,USDD,0x4f8e5de400de08b164e7421b3ee387f461becd1a,182.721145644863503016,0.99929928,pyth,182.5931092836872342621666285,24750136,27/03/2026 16:37:35,,27/03/2026 17:37:39
ethereum_wallet_0xa33e1f_MORPHO_F_token_balance,ethereum,wallet,0xa33e1f748754d2d624638ab335100d92fcbe62a2,MORPHO,F,token_balance,MORPHO,0x58d97b57bb95320f9a05dc918aef65434969c2b2,453.602254328912235234,1.487870000,kraken,674.9011861483586474376115800,24750136,27/03/2026 16:37:35,,27/03/2026 17:37:39
ethereum_wallet_0xa33e1f_PYUSD_E_token_balance,ethereum,wallet,0xa33e1f748754d2d624638ab335100d92fcbe62a2,PYUSD,E,token_balance,PYUSD,0x6c3ea9036406852006290770bedfcaba0e23a0e8,4.152677,1.00,par,4.15267700,24750136,27/03/2026 16:37:35,,27/03/2026 17:37:39
